bs,region,theta,pi,tajimas_d,n_call
8,intergenic_enhancers,0.00046109398498713145,0.00047855402611517086,0.13601137633923907,2895578
9,intergenic_enhancers,0.00045131389201968105,0.0004722486266376538,0.16661140684060965,2916037
10,intergenic_enhancers,0.0004589049591203019,0.0004772508462309676,0.14359296217072778,2882287
11,intergenic_enhancers,0.0004661573911348982,0.0004772650471855568,0.08558636760429858,2808923
12,intergenic_enhancers,0.00045926236977670496,0.00048215089470561215,0.17900770655446172,2851561
13,intergenic_enhancers,0.00044946579413294893,0.0004669744514452435,0.1399164880480475,2888904
14,intergenic_enhancers,0.0004422027004027452,0.0004625539204213345,0.16529967317255165,2823846
15,intergenic_enhancers,0.00047418202227505915,0.0004981703600397057,0.18171106687677369,2899321
16,intergenic_enhancers,0.0004559075444979669,0.00046592829336250026,0.07894718029587097,2854200
17,intergenic_enhancers,0.00047488994438227343,0.0004921319764964493,0.13041196638531918,2841714
18,intergenic_enhancers,0.00045816752428277794,0.00047277211927238,0.11449471658601129,2923902
19,intergenic_enhancers,0.0004607561080661006,0.0004845490835785933,0.18547986863840107,2893978
20,intergenic_enhancers,0.0004559904116023778,0.00046771801048117734,0.09237826447731427,2891304
