neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region,bin,proportion
0.00046920145932989696,0,0.0540149629028595,0.00046920145932989696,0.020320581168023,171.987467331956,0.05370070509344099,6379213.88551431,True,nan,32,intergenic,100.0 - inf,0.000660080049627665
0.00047144026034082306,0,0.070840842892907,0.00047144026034082306,0.28834794519615403,1.1206782193970601,0.0756146194964444,6344871.5509224,True,nan,33,intergenic,0.0 - 1.0,0.996864646702196
0.00047144026034082306,0,0.070840842892907,0.00047144026034082306,0.28834794519615403,1.1206782193970601,0.0756146194964444,6344871.5509224,True,nan,33,intergenic,1.0 - 10.0,0.003135353297960625
0.00047144026034082306,0,0.070840842892907,0.00047144026034082306,0.28834794519615403,1.1206782193970601,0.0756146194964444,6344871.5509224,True,nan,33,intergenic,10.0 - 100.0,7.796173636763313e-18
0.00047144026034082306,0,0.070840842892907,0.00047144026034082306,0.28834794519615403,1.1206782193970601,0.0756146194964444,6344871.5509224,True,nan,33,intergenic,100.0 - inf,4.75654404591213e-158
0.000477146955632632,0,0.0745621253329012,0.000477146955632632,0.0155066920499902,230.21596484624297,0.0732725585086034,6414317.28011156,True,nan,34,intergenic,0.0 - 1.0,0.9470966690044069
0.000477146955632632,0,0.0745621253329012,0.000477146955632632,0.0155066920499902,230.21596484624297,0.0732725585086034,6414317.28011156,True,nan,34,intergenic,1.0 - 10.0,0.032191782405251924
0.000477146955632632,0,0.0745621253329012,0.000477146955632632,0.0155066920499902,230.21596484624297,0.0732725585086034,6414317.28011156,True,nan,34,intergenic,10.0 - 100.0,0.019589846847545257
0.000477146955632632,0,0.0745621253329012,0.000477146955632632,0.0155066920499902,230.21596484624297,0.0732725585086034,6414317.28011156,True,nan,34,intergenic,100.0 - inf,0.0011217017258028474
0.000458716483951904,0,0.0272386559200599,0.000458716483951904,0.0566763194680519,17.4375590418528,0.039195204314498,6350557.36336363,True,nan,35,intergenic,0.0 - 1.0,0.937080667597228
0.000458716483951904,0,0.0272386559200599,0.000458716483951904,0.0566763194680519,17.4375590418528,0.039195204314498,6350557.36336363,True,nan,35,intergenic,1.0 - 10.0,0.06088237285044865
0.000458716483951904,0,0.0272386559200599,0.000458716483951904,0.0566763194680519,17.4375590418528,0.039195204314498,6350557.36336363,True,nan,35,intergenic,10.0 - 100.0,0.0020369595510949094
0.000458716483951904,0,0.0272386559200599,0.000458716483951904,0.0566763194680519,17.4375590418528,0.039195204314498,6350557.36336363,True,nan,35,intergenic,100.0 - inf,3.1787725036539727e-13
0.000465256243595505,0,0.0526841689237366,0.000465256243595505,0.0496126335620605,11.6041526602023,0.0513283771273101,6290831.301919901,True,nan,36,intergenic,0.0 - 1.0,0.959586086927794
0.000465256243595505,0,0.0526841689237366,0.000465256243595505,0.0496126335620605,11.6041526602023,0.0513283771273101,6290831.301919901,True,nan,36,intergenic,1.0 - 10.0,0.040006630420196726
0.000465256243595505,0,0.0526841689237366,0.000465256243595505,0.0496126335620605,11.6041526602023,0.0513283771273101,6290831.301919901,True,nan,36,intergenic,10.0 - 100.0,0.0004072826481478947
0.000465256243595505,0,0.0526841689237366,0.000465256243595505,0.0496126335620605,11.6041526602023,0.0513283771273101,6290831.301919901,True,nan,36,intergenic,100.0 - inf,1.8347026664159976e-18
0.000477460645874788,0,0.0720135708529016,0.000477460645874788,0.0092545859514907,746.633087420309,0.0729226787925881,6297542.46300497,True,nan,37,intergenic,0.0 - 1.0,0.9577465359867723
0.000477460645874788,0,0.0720135708529016,0.000477460645874788,0.0092545859514907,746.633087420309,0.0729226787925881,6297542.46300497,True,nan,37,intergenic,1.0 - 10.0,0.02020181364896132
0.000477460645874788,0,0.0720135708529016,0.000477460645874788,0.0092545859514907,746.633087420309,0.0729226787925881,6297542.46300497,True,nan,37,intergenic,10.0 - 100.0,0.017226745882260676
0.000477460645874788,0,0.0720135708529016,0.000477460645874788,0.0092545859514907,746.633087420309,0.0729226787925881,6297542.46300497,True,nan,37,intergenic,100.0 - inf,0.004824904485167148
0.00048134999619816503,0,0.0697705535481608,0.00048134999619816503,0.0114930031180488,715.8639545036459,0.0750710366945648,6281339.16675146,True,nan,38,intergenic,0.0 - 1.0,0.948234017435769
0.00048134999619816503,0,0.0697705535481608,0.00048134999619816503,0.0114930031180488,715.8639545036459,0.0750710366945648,6281339.16675146,True,nan,38,intergenic,1.0 - 10.0,0.024880788288901282
0.00048134999619816503,0,0.0697705535481608,0.00048134999619816503,0.0114930031180488,715.8639545036459,0.0750710366945648,6281339.16675146,True,nan,38,intergenic,10.0 - 100.0,0.021165537992827436
0.00048134999619816503,0,0.0697705535481608,0.00048134999619816503,0.0114930031180488,715.8639545036459,0.0750710366945648,6281339.16675146,True,nan,38,intergenic,100.0 - inf,0.005719656277921572
0.000473561958679996,0,0.0666283861470785,0.000473561958679996,0.0301365060456894,18.0329878030559,0.0702365496462515,6335107.78189834,True,nan,39,intergenic,0.0 - 1.0,0.9657173643533946
0.000473561958679996,0,0.0666283861470785,0.000473561958679996,0.0301365060456894,18.0329878030559,0.0702365496462515,6335107.78189834,True,nan,39,intergenic,1.0 - 10.0,0.03313422128988524
0.000473561958679996,0,0.0666283861470785,0.000473561958679996,0.0301365060456894,18.0329878030559,0.0702365496462515,6335107.78189834,True,nan,39,intergenic,10.0 - 100.0,0.0011484143609443596
0.000473561958679996,0,0.0666283861470785,0.000473561958679996,0.0301365060456894,18.0329878030559,0.0702365496462515,6335107.78189834,True,nan,39,intergenic,100.0 - inf,3.374655850028124e-13
0.00047457683704688606,0,0.0628831824556813,0.00047457683704688606,0.0393914086698386,17.8529082717865,0.0669284366323604,6292453.04554154,True,nan,40,intergenic,0.0 - 1.0,0.9555179673820003
0.00047457683704688606,0,0.0628831824556813,0.00047457683704688606,0.0393914086698386,17.8529082717865,0.0669284366323604,6292453.04554154,True,nan,40,intergenic,1.0 - 10.0,0.04300351621569909
0.00047457683704688606,0,0.0628831824556813,0.00047457683704688606,0.0393914086698386,17.8529082717865,0.0669284366323604,6292453.04554154,True,nan,40,intergenic,10.0 - 100.0,0.0014785164060666263
0.00047457683704688606,0,0.0628831824556813,0.00047457683704688606,0.0393914086698386,17.8529082717865,0.0669284366323604,6292453.04554154,True,nan,40,intergenic,100.0 - inf,3.614169701375983e-13
0.000469094697734321,0,0.0661153088092872,0.000469094697734321,0.0505530163330191,15.823439516162301,0.0685928100704342,6230386.63047679,True,nan,41,intergenic,0.0 - 1.0,0.9475485041099753
0.000469094697734321,0,0.0661153088092872,0.000469094697734321,0.0505530163330191,15.823439516162301,0.0685928100704342,6230386.63047679,True,nan,41,intergenic,1.0 - 10.0,0.051127482947262375
0.000469094697734321,0,0.0661153088092872,0.000469094697734321,0.0505530163330191,15.823439516162301,0.0685928100704342,6230386.63047679,True,nan,41,intergenic,10.0 - 100.0,0.001324012935775328
0.000469094697734321,0,0.0661153088092872,0.000469094697734321,0.0505530163330191,15.823439516162301,0.0685928100704342,6230386.63047679,True,nan,41,intergenic,100.0 - inf,2.4425192598281988e-14
0.000460781943826469,0,0.0388547704284819,0.000460781943826469,0.005821990012494321,1765.5831749710699,0.0413214468544345,6284503.24781159,True,nan,42,intergenic,0.0 - 1.0,0.9683749294026185
0.000460781943826469,0,0.0388547704284819,0.000460781943826469,0.005821990012494321,1765.5831749710699,0.0413214468544345,6284503.24781159,True,nan,42,intergenic,1.0 - 10.0,0.012953963523359629
