region,bs_rep,theta,shape,scale,mean_gamma,alpha,omega
intron-enhancers,7,0.000490630969954147,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,8,0.000477633437711907,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,9,0.00048633451057542,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,10,0.00046944525917188,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,11,0.000472735946698115,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,12,0.000485261308170639,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,13,0.000508861232894882,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,14,0.000482953062159024,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,15,0.000473058264713689,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,16,0.000481112084144068,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,17,0.000474169678282416,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,18,0.000484043478222972,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,19,0.000467966755332891,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,20,0.000465873791440767,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,21,0.000471735515094237,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,22,0.000479308854349069,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,23,0.000487016669729204,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,24,0.000497684541319336,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,25,0.000501598932281165,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,26,0.000496925375648409,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,27,0.00047930206402455,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,28,0.000485203493687637,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,29,0.000470610741276636,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,30,0.000470092811826731,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,31,0.00047826145901848,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,32,0.000467805971377438,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,33,0.00049689724454016,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,34,0.000487535518737214,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,35,0.000474280862072689,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,36,0.000471651923407913,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,37,0.000500475158538845,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,38,0.000476730558178192,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,39,0.000481267864417415,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,40,0.000476254353853393,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,41,0.000492147102125765,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,42,0.000484910827715207,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,43,0.000491819528469551,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,44,0.000475831388020845,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,45,0.000478344682701266,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,46,0.000469993737012477,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,47,0.0004738611247537,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,48,0.000485009371818819,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
