bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
35	870,361,248,208,149,136,125,91,83,95,72,64,89,66,56,53,56,55,58,28,41,35,46,34,42,39,34,25,33,34,33,23,24,27,17,23,27,22,32,22,31,45,16,21,35,23,18,30,25,38,25,41,27,35,34,39,23,60,51,51,63	1882073	195,53,36,29,21,13,10,21,17,10,7,12,12,8,4,10,5,1,5,2,6,3,6,6,1,5,5,0,0,2,7,12,2,2,2,7,3,2,4,0,4,3,2,1,1,3,5,0,0,2,3,1,0,6,4,0,4,1,6,14,6	792110
36	795,322,266,207,150,122,113,82,113,95,63,42,70,61,57,46,49,92,53,36,41,31,59,29,47,49,43,28,34,43,33,28,23,28,22,21,27,26,31,18,27,46,16,20,21,23,19,30,27,46,27,47,33,26,36,33,25,55,42,60,48	1873517	222,66,54,31,20,18,21,25,9,8,5,13,12,10,8,10,5,8,7,3,2,1,2,4,5,11,2,0,0,4,3,8,3,0,1,7,0,1,3,0,1,2,5,3,1,0,2,1,0,0,1,1,0,8,7,5,2,0,7,9,6	810310
37	823,315,262,190,154,157,130,88,123,69,66,62,83,91,82,60,47,53,70,49,35,34,41,32,50,55,42,19,37,36,26,27,20,25,23,24,29,17,37,28,23,40,23,29,36,26,7,33,24,42,44,42,27,22,48,24,25,57,45,66,58	1905382	232,78,38,29,16,15,23,9,9,9,15,8,11,8,4,8,3,4,6,4,4,2,3,3,3,6,2,0,0,5,4,5,3,0,2,4,0,1,2,0,2,1,3,0,1,1,5,2,0,0,1,2,0,5,8,2,5,1,9,8,10	827671
38	841,343,257,193,154,147,103,89,106,83,68,47,82,91,75,58,37,64,55,36,30,31,43,36,31,40,34,25,35,38,43,24,29,26,25,27,32,26,36,28,31,39,16,20,33,20,23,27,19,33,39,47,37,25,44,29,18,63,58,53,52	1900642	202,60,48,22,12,15,16,15,13,11,13,14,16,7,4,7,1,5,8,6,3,1,2,4,2,9,1,0,0,2,6,10,5,2,1,9,0,2,0,0,3,3,3,2,3,3,4,2,0,1,2,4,0,8,5,10,3,2,9,5,10	812537
39	864,332,258,200,141,133,120,87,96,83,74,57,89,90,78,62,44,64,46,30,45,41,64,23,49,46,46,28,37,28,44,25,24,39,27,29,27,23,39,23,21,43,25,20,24,30,21,45,28,34,34,35,30,29,53,34,17,46,57,58,70	1913551	171,72,48,36,24,21,10,16,13,11,10,12,15,9,9,17,4,6,5,10,6,2,4,8,3,8,7,0,0,5,12,14,3,3,1,6,3,1,4,0,3,1,4,3,1,3,5,2,0,2,0,1,0,10,6,3,4,2,8,15,8	834448
40	860,338,256,175,133,143,123,105,91,82,84,70,81,87,56,56,39,71,53,36,42,35,48,32,33,53,38,15,35,51,42,32,15,30,29,30,32,24,33,23,19,35,31,19,20,21,12,37,13,35,40,30,30,21,43,29,25,56,43,41,50	1860455	194,63,42,33,19,15,14,11,16,9,9,11,13,6,9,8,6,10,3,5,3,4,3,4,3,10,3,0,0,8,7,3,5,2,0,7,3,1,3,0,4,0,3,0,2,1,4,1,0,0,1,1,0,4,3,2,4,4,2,11,6	809779
41	896,356,265,191,157,146,125,116,119,94,70,52,90,74,60,52,45,58,59,36,46,37,48,37,38,54,29,29,44,40,36,29,18,28,18,22,31,21,28,20,17,38,18,32,33,30,29,31,15,36,28,32,37,33,34,28,30,52,39,73,57	1939333	214,67,44,24,21,13,15,10,6,10,7,8,11,12,3,8,1,2,5,2,9,3,6,3,5,3,3,0,0,3,4,12,2,2,1,7,1,0,1,0,2,2,5,0,0,1,3,1,0,0,2,5,0,8,8,2,6,3,11,7,11	830228
42	857,320,278,176,151,163,128,110,90,85,65,63,85,88,74,52,40,76,52,41,37,33,57,26,45,49,40,29,34,28,38,29,10,31,24,28,23,34,30,18,22,50,22,32,24,29,19,33,20,36,33,30,29,36,51,34,23,52,39,61,49	1898601	223,66,41,17,24,14,20,18,16,10,8,9,11,17,8,11,2,1,3,5,2,7,3,1,5,8,0,0,0,3,5,7,0,2,1,8,2,3,0,0,2,5,1,1,1,0,4,0,0,0,2,3,0,10,5,6,4,2,9,5,3	828140
43	929,378,227,197,134,121,120,90,84,92,64,55,69,81,73,55,41,67,60,32,35,27,40,32,36,49,38,23,39,31,33,32,23,33,20,27,31,26,30,15,25,42,19,25,23,32,17,24,25,32,25,25,41,25,41,26,28,51,47,67,58	1847662	173,65,32,30,12,18,18,15,11,13,7,12,9,9,9,8,5,2,8,3,6,3,7,2,3,5,3,0,0,4,11,10,8,2,0,6,4,3,1,0,2,2,5,2,1,0,6,0,0,1,0,5,0,5,9,2,5,6,5,3,22	808304
44	777,342,244,182,165,142,133,108,113,90,90,60,66,73,56,64,34,59,60,34,25,34,44,27,33,48,30,23,37,41,35,30,24,31,29,30,42,23,36,20,34,51,14,31,30,24,13,36,16,31,35,32,32,26,39,37,19,64,32,55,67	1891196	231,68,55,20,19,18,12,21,10,13,16,15,11,6,6,9,7,4,9,6,4,4,1,1,2,16,2,0,0,4,5,10,3,2,0,5,1,0,5,0,3,4,2,1,0,2,2,1,0,1,2,0,0,5,9,4,0,0,12,7,7	839951
