bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
38	836,326,251,206,142,157,149,85,102,88,61,44,79,62,56,52,42,57,51,31,36,45,52,20,46,31,35,12,26,30,36,22,25,29,29,28,22,20,35,29,19,36,15,23,37,27,29,36,20,40,40,48,27,25,48,30,24,50,39,43,60	1811966	372,152,116,82,52,73,33,40,23,20,25,25,29,12,23,31,12,5,23,20,17,14,16,7,14,9,6,2,6,13,13,19,16,4,6,5,2,7,9,7,2,3,9,2,7,5,6,18,4,20,1,8,4,15,12,8,13,11,11,9,12	1247136
39	863,348,247,198,167,142,114,88,108,65,55,67,83,82,68,57,48,58,64,29,45,31,50,27,44,46,46,30,32,23,33,25,22,28,27,16,19,24,28,22,34,33,26,28,26,29,24,33,32,37,35,30,28,19,37,24,18,62,37,48,60	1859153	421,135,94,77,55,51,39,35,34,26,12,14,40,25,15,26,17,16,14,17,16,10,15,10,18,15,11,3,10,12,13,13,14,5,9,17,5,4,6,9,11,5,12,6,2,7,11,9,4,5,6,8,4,19,11,8,7,18,17,19,10	1230446
40	779,335,209,179,138,152,110,107,107,77,73,61,76,75,54,49,35,55,58,31,40,35,47,20,45,43,34,19,27,29,32,27,18,28,24,23,33,25,36,18,30,32,29,23,30,18,17,37,27,37,49,35,26,18,43,21,19,46,42,59,57	1808038	418,120,95,77,53,55,37,27,19,25,18,21,19,27,11,21,12,18,19,17,18,10,10,7,7,23,10,1,11,10,14,13,20,7,6,11,12,7,9,3,14,3,4,3,10,8,12,12,3,4,6,9,1,16,8,16,4,14,16,24,11	1236338
41	807,328,261,206,165,138,125,109,106,81,64,55,78,71,57,50,39,69,48,46,39,47,41,22,34,44,40,18,35,35,34,38,17,30,27,25,25,24,27,20,28,33,19,30,25,28,27,28,27,34,27,32,23,29,37,33,17,64,53,54,61	1849059	444,146,115,76,37,49,33,31,34,19,18,15,22,18,13,25,12,16,17,24,21,12,15,6,14,21,8,4,7,19,12,8,9,10,11,11,7,7,2,6,10,4,9,9,0,8,21,9,4,6,0,12,7,14,12,19,4,13,16,17,8	1233216
42	861,331,237,208,171,142,125,87,106,95,87,65,75,74,70,45,50,54,52,35,28,49,43,28,38,48,29,16,32,27,34,27,21,30,38,25,31,20,34,21,26,56,26,31,47,24,15,30,35,35,28,28,22,17,31,30,24,59,33,58,64	1848098	388,131,99,52,59,59,48,31,26,22,18,19,30,22,14,25,15,11,20,18,13,14,14,8,5,7,10,4,9,11,11,8,10,5,9,14,7,4,12,9,14,0,21,6,7,3,14,11,5,12,3,12,3,16,14,11,7,23,13,12,12	1225318
43	834,344,232,200,137,110,118,110,108,77,91,60,66,74,67,65,47,72,54,34,43,40,46,31,35,43,36,23,38,29,31,20,21,25,26,21,36,42,43,27,38,44,18,29,27,28,16,22,27,33,28,33,27,30,45,29,28,57,39,49,55	1841490	432,125,100,72,44,57,30,40,17,24,17,17,36,28,18,23,10,17,14,15,18,10,11,14,15,15,10,8,10,13,21,12,6,8,8,11,6,7,8,9,8,10,12,5,4,8,13,9,4,6,5,7,8,18,11,6,6,14,6,12,12	1226579
44	823,325,242,196,154,138,123,93,93,91,90,54,74,66,75,57,47,53,43,36,31,35,41,20,45,58,34,19,22,24,28,25,23,33,17,24,30,22,28,22,26,54,20,25,27,34,20,31,29,29,31,24,19,28,41,33,27,65,36,51,41	1850718	368,138,110,76,43,44,53,36,24,22,20,18,23,21,19,25,12,14,20,22,14,9,15,8,16,15,13,7,12,16,15,15,9,13,4,11,5,7,6,14,8,6,7,6,6,10,11,7,5,6,3,9,6,17,15,9,8,31,14,15,16	1205766
45	847,359,232,198,151,156,107,80,104,82,66,67,76,86,59,41,43,53,45,35,35,38,47,32,24,47,38,27,33,32,30,31,26,27,18,19,21,31,37,31,31,39,19,25,40,27,13,25,25,38,25,33,39,22,52,28,30,57,34,61,60	1862034	398,145,106,75,48,59,40,26,37,26,18,22,39,24,13,21,18,12,14,20,10,10,13,12,8,19,10,3,9,6,22,8,14,7,5,15,2,12,8,8,18,5,6,4,4,8,16,5,4,6,8,14,4,17,11,7,6,20,12,15,22	1215880
46	825,330,248,205,135,115,121,88,95,88,92,55,60,86,56,63,46,67,56,25,40,38,28,36,41,39,25,28,38,30,27,35,30,31,34,25,19,23,44,17,23,38,22,28,30,29,18,38,30,41,24,40,34,27,61,34,30,48,47,56,55	1908549	440,134,116,84,55,47,38,36,25,23,18,17,45,23,13,34,12,21,29,15,9,14,12,8,10,19,7,2,4,17,18,18,12,11,7,9,7,7,10,8,9,3,11,4,12,10,13,9,3,8,5,11,5,22,10,15,14,14,18,18,23	1256401
47	856,333,242,202,152,150,119,76,104,95,87,56,70,79,77,57,50,53,64,40,43,35,47,22,43,70,32,23,34,36,46,43,31,31,18,20,27,28,27,21,24,47,23,19,27,31,19,31,35,42,31,32,22,31,42,41,29,54,40,65,45	1878295	413,140,105,69,50,51,52,33,20,24,15,16,28,25,16,20,15,12,10,12,16,11,17,7,12,13,9,7,10,4,19,24,13,8,3,7,8,5,17,4,4,6,8,3,7,10,17,10,3,6,2,14,4,20,11,10,7,13,18,21,14	1245610
48	831,310,213,193,154,133,120,98,95,75,75,56,73,57,55,50,42,49,72,39,49,43,43,23,40,52,26,21,34,20,39,20,14,25,15,20,27,17,25,21,22,47,24,18,39,32,20,28,18,40,28,33,26,28,36,24,27,43,40,60,56	1821053	377,136,99,55,64,52,48,37,35,24,17,15,29,22,13,18,16,14,22,14,6,10,10,7,18,11,5,3,12,6,20,18,10,10,7,12,2,6,11,8,3,4,12,4,4,8,21,11,4,7,6,11,4,6,9,13,4,17,12,17,7	1244952
49	796,329,256,208,149,121,98,106,99,83,77,61,68,64,78,55,54,56,49,32,47,36,54,37,42,47,32,15,39,44,41,21,28,33,18,34,17,26,36,27,37,49,23,23,20,31,25,27,25,32,28,32,37,25,39,28,24,62,36,53,41	1837441	406,150,99,67,47,48,36,35,22,17,21,11,38,19,22,22,14,16,23,18,17,6,19,12,17,14,11,3,5,8,21,23,17,10,6,8,4,8,10,10,16,7,7,4,3,2,17,9,4,11,4,9,14,16,12,10,9,20,17,16,13	1252831
50	832,370,247,189,157,129,137,104,99,83,74,64,71,66,73,47,54,60,47,33,37,48,43,19,50,48,42,21,42,40,27,24,26,34,18,25,28,29,30,26,25,40,24,25,29,38,23,30,21,32,43,27,26,24,43,29,19,55,37,56,56	1845313	425,141,86,65,44,56,46,29,32,17,23,20,29,34,12,28,9,12,16,13,7,12,8,8,10,13,13,1,4,19,20,7,15,9,5,6,2,9,6,9,11,2,12,8,7,5,20,10,6,11,3,6,3,12,11,15,7,14,18,8,19	1240937
51	805,315,243,184,156,145,120,90,117,103,77,67,82,70,71,39,34,52,38,38,33,46,50,31,35,55,24,23,28,29,33,31,21,32,23,11,25,37,36,23,21,44,20,22,36,25,17,43,16,25,28,40,29,36,37,30,20,47,56,55,50	1814188	446,150,109,80,48,39,43,33,21,22,26,15,32,16,23,31,15,10,16,15,24,12,13,9,1,18,13,4,8,10,15,11,7,6,7,14,7,10,15,8,6,10,2,4,3,6,11,11,3,4,3,15,10,18,15,9,3,21,15,17,23	1250767
52	850,328,231,214,147,114,120,97,97,79,84,64,83,79,84,54,46,51,54,39,49,38,36,22,35,51,33,21,29,23,32,34,15,31,14,19,28,23,41,28,36,45,20,31,32,32,19,30,28,35,41,39,24,19,41,16,20,51,51,57,66	1824756	407,134,113,69,50,46,51,38,30,25,22,18,31,27,21,26,18,14,19,11,22,11,13,3,9,20,17,4,13,15,10,15,9,9,5,10,4,9,13,8,10,5,8,8,5,2,14,11,2,5,3,14,8,21,6,3,3,19,16,21,19	1226300
53	835,357,269,191,158,157,121,93,89,89,73,54,75,72,56,54,53,58,57,45,37,38,55,28,49,34,30,19,37,35,35,26,23,27,19,17,28,26,27,23,27,38,17,23,29,24,19,29,20,35,34,42,37,27,39,33,36,50,32,39,53	1875871	406,141,115,65,47,50,42,19,22,28,16,21,29,29,18,23,15,16,17,19,16,12,15,7,10,18,5,3,8,18,16,17,9,12,7,14,3,6,10,2,7,4,8,4,2,7,21,7,3,8,2,11,7,18,6,9,5,15,16,16,19	1235002
