bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
40	496,226,135,117,82,94,84,59,54,64,36,27,39,33,41,37,24,26,36,37,20,25,23,9,24,26,20,13,15,14,24,12,12,15,15,20,13,22,16,11,7,22,12,12,20,20,9,18,27,20,16,30,18,19,18,28,5,25,35,41,38	1109395	399,164,127,90,65,57,73,25,28,31,48,24,53,18,33,34,25,14,9,31,13,4,10,14,10,9,9,12,12,14,21,8,12,22,9,8,14,9,10,7,0,11,11,9,6,3,9,7,3,16,12,19,9,23,14,7,7,6,17,11,25	823607
41	496,206,143,106,80,78,75,65,49,65,28,35,44,37,45,42,23,43,31,24,24,28,18,18,14,17,20,10,12,21,29,5,20,15,6,15,9,15,20,14,8,26,18,14,12,14,8,16,21,16,16,17,23,22,8,15,7,29,30,37,47	1092912	392,171,124,72,96,51,60,39,23,37,46,23,28,26,28,23,21,13,29,23,13,5,16,9,12,14,12,9,12,10,16,11,18,16,12,8,6,10,10,3,6,15,10,11,11,9,13,10,4,11,12,16,6,9,11,7,8,9,17,12,35	840157
42	525,240,122,115,75,78,76,66,38,65,34,41,40,19,39,35,19,32,38,30,27,25,11,15,27,34,20,17,20,13,36,7,18,15,13,13,13,10,16,8,15,17,14,5,17,15,18,12,17,21,14,28,11,27,17,18,20,25,25,33,41	1099171	435,177,135,68,72,40,58,40,46,40,42,26,32,22,15,25,30,13,15,28,26,7,15,9,6,12,10,9,17,7,29,3,16,14,14,11,17,14,12,15,5,20,16,6,9,7,8,6,9,19,12,13,7,12,16,10,12,13,16,22,30	834942
43	501,211,151,120,94,106,76,68,37,68,28,29,38,46,50,29,20,45,45,32,18,25,15,16,24,25,22,15,14,25,24,4,10,11,13,16,7,24,26,21,14,26,19,8,19,18,15,27,17,25,20,13,29,19,17,24,18,28,38,40,33	1109637	474,181,141,92,68,54,72,26,31,49,36,21,34,20,20,34,25,23,16,22,25,9,30,8,11,12,8,13,12,11,20,8,15,19,16,9,11,14,14,18,10,12,10,10,9,6,14,8,6,14,12,12,8,15,9,5,12,9,17,11,23	841049
44	585,234,135,119,80,83,92,48,53,76,45,22,58,36,44,42,22,42,44,28,21,31,17,17,19,28,11,11,29,23,22,6,18,20,11,18,15,20,17,12,13,28,21,11,15,16,10,16,24,23,15,33,14,15,14,21,16,25,21,36,37	1106566	442,192,118,83,83,44,68,27,29,45,42,25,38,24,19,44,27,9,22,26,20,3,14,10,10,11,8,8,15,8,23,10,25,15,13,8,12,8,11,16,6,12,14,6,7,4,7,7,4,18,11,18,6,18,15,10,8,13,11,18,35	847342
45	506,203,132,102,63,89,75,49,36,66,29,13,39,46,29,23,31,38,25,23,12,20,11,16,23,26,17,13,23,15,26,12,20,16,13,12,11,15,16,12,17,31,10,3,22,19,7,12,27,17,17,23,18,18,15,16,18,28,28,26,42	1084907	402,187,96,71,83,51,61,25,33,47,39,22,25,21,44,24,23,16,16,24,14,10,11,11,12,15,10,6,12,7,11,9,16,14,10,7,10,17,15,17,3,16,13,8,4,6,8,8,8,18,15,17,12,19,16,14,12,14,15,17,15	846417
46	472,201,130,94,86,94,87,70,56,72,31,29,47,28,42,45,19,35,33,23,16,23,19,23,29,24,12,11,18,18,14,8,17,25,9,20,11,18,8,17,10,23,9,8,19,15,13,20,20,18,16,17,20,30,9,20,14,27,24,28,23	1061013	427,170,115,66,92,44,64,35,24,46,38,22,41,17,26,30,29,18,15,27,23,5,24,10,12,17,14,11,18,12,19,14,17,20,9,9,11,13,16,15,6,17,13,4,12,8,4,10,4,21,9,22,8,7,12,10,6,14,25,23,26	831329
47	493,217,138,111,83,101,96,66,46,73,30,28,50,38,32,40,28,38,40,35,14,31,24,16,11,31,16,10,15,16,29,6,18,17,18,20,17,21,17,19,10,22,8,9,14,17,15,22,19,14,14,21,23,25,20,23,15,29,23,45,49	1121337	395,172,142,80,74,50,55,27,32,36,40,23,27,18,27,17,32,16,19,30,12,8,10,9,11,12,18,11,17,11,24,14,12,20,13,7,13,13,13,14,5,16,17,3,11,12,16,11,5,23,16,13,10,11,9,6,14,8,16,16,19	840056
48	570,239,136,128,71,97,77,58,39,53,35,22,53,34,34,27,28,29,41,29,23,24,21,16,19,26,25,14,17,22,24,12,13,19,15,19,10,13,21,14,13,30,20,11,17,21,8,15,21,15,6,23,22,26,17,17,15,25,25,35,43	1108756	407,192,120,72,96,55,54,36,32,38,42,33,31,15,27,31,34,12,29,25,20,9,13,8,21,13,8,4,14,14,22,8,17,13,9,4,12,19,15,14,4,10,16,11,10,8,4,8,5,18,14,15,8,13,14,10,7,15,13,6,27	824581
49	523,243,136,103,91,82,73,50,39,54,28,28,36,32,35,36,23,46,37,33,18,26,25,18,24,19,19,10,10,12,29,5,16,19,8,22,11,16,22,6,16,21,16,6,15,19,15,13,10,14,17,17,20,20,16,15,18,33,30,31,44	1060882	385,146,131,85,63,41,42,24,32,50,48,25,27,25,20,20,24,15,21,30,22,6,14,14,12,10,10,12,10,4,12,9,13,14,14,10,12,14,10,9,3,11,12,6,8,8,11,10,6,11,8,16,10,12,18,7,13,3,19,16,34	827310
50	517,221,128,102,73,89,70,48,50,64,31,36,60,34,41,31,20,40,27,21,20,29,22,22,25,30,25,9,17,14,40,7,18,23,5,15,10,16,26,18,18,14,5,8,14,11,9,15,15,23,10,15,9,12,10,19,15,21,20,44,31	1057248	428,188,148,62,80,46,59,37,27,53,37,20,26,15,25,22,22,12,13,27,19,8,20,8,13,12,20,14,12,8,16,7,14,19,12,4,11,17,9,11,5,10,8,6,4,6,7,3,7,22,10,15,5,17,12,10,14,6,11,28,31	825166
51	502,214,150,122,84,76,75,55,50,72,23,37,54,34,40,26,15,40,26,28,16,25,22,18,18,26,19,12,22,22,29,10,14,23,9,18,12,21,16,16,14,13,12,6,11,14,13,15,14,20,19,22,23,17,13,19,21,32,28,36,53	1081247	419,169,121,83,79,52,74,27,38,45,41,25,42,17,29,34,30,16,23,27,24,9,16,6,17,11,9,10,18,9,18,10,19,26,9,7,12,15,12,11,6,15,21,8,11,10,15,15,11,7,19,21,14,19,8,2,8,8,21,8,27	845435
52	523,222,143,126,80,104,94,50,48,80,36,33,53,45,45,39,21,50,46,32,22,22,23,12,26,22,22,16,14,19,43,7,19,26,18,13,16,12,21,11,7,18,11,12,10,18,7,17,18,15,14,18,16,26,12,19,16,40,31,35,31	1099748	385,197,125,59,59,60,54,29,28,32,38,25,35,9,29,26,26,15,24,24,12,5,12,15,10,6,8,3,8,12,22,7,9,19,9,17,8,14,10,12,6,12,16,10,14,6,6,6,5,16,4,13,8,10,16,9,14,12,15,15,14	836054
53	527,208,132,106,77,73,79,63,52,61,41,33,30,38,42,40,26,43,37,22,25,21,20,10,19,30,20,14,19,20,30,14,19,17,9,17,14,25,12,10,15,23,14,8,17,14,16,15,21,21,16,22,22,14,13,21,10,25,28,32,37	1071161	421,207,130,92,76,58,67,39,25,40,42,23,36,20,30,14,27,12,15,30,22,6,16,7,12,11,8,7,3,10,23,12,21,18,15,7,14,14,16,11,6,10,9,11,7,9,4,4,2,11,8,23,10,12,24,5,7,7,19,19,26	848714
